ColumnName;VariableName;Description
Ia;otros_anim;¿Además de los cerdos, hay otros animales de producción o mascotas presentes en su granja?
Ib;otros;¿Qué otros animales de granja están presentes en su explotación?
II;n_cerd;¿Cuántas cerdas tiene en su granja?
III;n_lech;¿Cuántos lechones destetados tiene en su granja?
IV;n_eng;¿Cuántos cerdos de engorde tiene en su granja?
V;n_ver;¿Cuántos verracos tiene en su granja?
VI;n_exper;¿Cuántos años de experiencia en el sector porcino tiene el responsable?
VII;n_emple;¿Cuántos empleados hay en la granja?
VIII;edif_vie;¿Qué edad tiene (en años) el edificio más antiguo de la granja en el que se alojan animales?
IX;n_edif_nue;¿Qué edad (en años) tiene el edificio más nuevo de la granja en el que se alojan animales?
X1;comp_rep;¿Se compran cerdos reproductores?
X2;prov_rep;¿Durante los últimos dos años, provienen sus cerdos reproductores del mismo proveedor o de varios?
X3;sani_rep;Cuando se compran cerdos reproductores de otra explotación, ¿se piden pruebas para garantizar que el estatus y el manejo sanitario de la explotación de origen son iguales o superiores a los de su granja?
X4;vehi_rep;¿Se aplican criterios higiénicos (por ejemplo, limpieza y desinfección del vehículo) en el vehículo de transporte que lleva a los cerdos reproductores a la granja?
X5;frec_rep;De manera anual,¿con qué frecuencia se entregan cerdos reproductores a su granja?
X6;X40a_rep;¿Están todos los cerdos reproductores recién llegados en una sala de cuarentena separados del resto del rebaño?
X7;TDTF_rep;¿Se practica en la sala de cuarentena una gestión estricta de todo dentro/todo fuera?
X8;dias_40a_rep;¿Cuál es la duración mínima (en días) del período de cuarentena?
X9;vest_40a_rep;¿Hay una barrera/vestuario de bioseguridad separado para la sala de cuarentena?
X10;comp_lec;¿Se compran lechones?
X11;orig_lec;¿Durante los últimos dos años, provienen sus lechones del mismo proveedor o de varios?
X12;sani_lec;Cuando se compran lechones de otra explotación, ¿se piden analíticas para garantizar que el estado y la gestión sanitaria de la explotación de origen son iguales o superiores a los de su granja?
X13;vehi_lec;¿Se aplican criterios higiénicos (por ejemplo, limpieza y desinfección del vehículo) en el vehículo de transporte que lleva a los lechones a la granja?
X14;frec_lec;Anualmente, ¿con qué frecuencia se entregan lechones a su granja?
X15;comp_sem;¿Se compra semen?
X16;sani_sem;Cada vez que se compra semen en una granja/centro de inseminación, ¿se piden analíticas para asegurar que el estatus y la gestión sanitaria de la granja/centro de inseminación de origen son iguales o superiores a los de su propia granja?
X17;eng_mat;¿Los cerdos de engorde son transportados de su granja al matadero?
X18;vehi_eng_vac;¿El vehículo de transporte de los cerdos de engorde está vacío a la llegada a la granja?
X19;lyd_vehi_eng;¿Se limpia y desinfecta el vehículo de transporte de los cerdos de engorde antes de entrar en la granja?
X20;trans_cer;¿Se transportan las cerdas de su granja a otras granjas o al matadero?
X21;vehi_cer_vac;¿El vehículo de transporte de las cerdas está vacío a su llegada a la granja?
X22;lyd_vehi_cer;¿Se limpia y desinfecta el vehículo de transporte de las cerdas antes de entrar en la granja?
X23;trans_lec;¿Se transportan los lechones de su granja a otras granjas?
X24;trans_lec_vac;¿El vehículo de transporte de los lechones está vacío a la llegada a la granja?
X25;lyd_vehi_lec;¿Se limpia y desinfecta el vehículo de transporte de lechones a su llegada a la granja?
X26;nav_cond;¿Tiene el conductor acceso a las naves al cargar los animales (cerdos de engorde, cerdas o lechones)?
X27;ropa_cond;¿Recibe y usa el conductor ropa y zapatos específicos de la granja?
X28;carga_sep;¿Se cargan los cerdos desde una zona de carga separada (muelle de carga) o directamente desde la nave /pasillo central?
X29;regreso_postveh;¿Es posible que los cerdos regresen a las naves (por ejemplo, los animales caminando por su propio pie o que un trabajador los devuelva a la misma sala por algún motivo ) después de haber estado en el vehículo de transporte?
X30;zs_purin;¿Se elimina el purín a través de la zona sucia?
X31;mang_purin;¿Existen mangueras específicas de la granja para la eliminación del purín de las fosas de estiércol (es decir, hay mangueras que siempre permanezcan en la granja)?
X32;separ_cad;¿Existe un espacio de almacenamiento de cadáveres, físicamente separado de las nave de los animales?
